"Modified_Value","Predicted_Demand","Feature"
"3",0.488790487068956,"communication_rating"
"3.1",0.505396450210334,"communication_rating"
"3.2",0.551174166282983,"communication_rating"
"3.3",0.531410167828492,"communication_rating"
"3.4",0.542585754703219,"communication_rating"
"3.5",0.584301299737666,"communication_rating"
"3.6",0.569218324119784,"communication_rating"
"3.7",0.544698775307869,"communication_rating"
"3.8",0.566262942962129,"communication_rating"
"3.9",0.581086760598001,"communication_rating"
"4",0.624481635948789,"communication_rating"
"4.1",0.617196276541147,"communication_rating"
"4.2",0.628015429011881,"communication_rating"
"4.3",0.632213654318902,"communication_rating"
"4.4",0.628883177304918,"communication_rating"
"4.5",0.685738262736062,"communication_rating"
"4.6",0.669957009564585,"communication_rating"
"4.7",0.630667656867407,"communication_rating"
"4.8",0.694027118031274,"communication_rating"
"4.9",0.680544171845441,"communication_rating"
"5",0.678643525880263,"communication_rating"
